pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
0,CLASS-CLASS,0.0000,0.0625,0.0312,0.0312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0312,0.0312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1875
1,CLASS-CLSRCK,0.0156,0.0312,0.0469,0.0156,0.0312,0.0469,0.0312,0.0469,0.0312,0.0781,0.0938,0.0781,0.0625,0.0312,0.0469,0.0469,0.0000,0.0312,0.0312,0.7969
2,CLASS-CNFLK,0.0000,0.0000,0.0625,0.0312,0.0312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1562
3,CLASS-ELECTR,0.0000,0.0625,0.0625,0.0156,0.0625,0.0000,0.1094,0.0000,0.0625,0.0156,0.0156,0.0312,0.0469,0.0156,0.0156,0.0156,0.0156,0.0156,0.0000,0.5625
4,CLASS-INDIE,0.0000,0.0089,0.0089,0.0536,0.0179,0.0179,0.0179,0.0268,0.0446,0.0357,0.0179,0.0536,0.0625,0.0268,0.0536,0.0179,0.0179,0.0179,0.0000,0.5000
5,CLASS-JAZZ,0.0000,0.0500,0.0500,0.0500,0.0500,0.0250,0.0500,0.0500,0.0500,0.0750,0.0000,0.0500,0.0250,0.0000,0.0000,0.0000,0.0000,0.1500,0.0250,0.7000
6,CLASS-METAL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,CLASS-OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833
8,CLASS-SHOWTUN,0.0000,0.0312,0.0000,0.0938,0.0625,0.0625,0.0000,0.0625,0.0625,0.0000,0.0000,0.0312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4062
9,CLASS-TOP40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.0625,0.1250,0.0000,0.0000,0.0625,0.0000,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3750
10,CLASS-TYPEa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,CLASS-TYPEb,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,CLASS-TYPEc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,CLASS-TYPEd,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,CLASS-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,CLASS-TYPEf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,CLASS-TYPEg,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,CLASS-TYPEh,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
