pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
0,TYPEa-TYPEa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,TYPEa-TYPEb,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
2,TYPEa-TYPEc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,TYPEa-TYPEd,0.0000,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.1111,0.0000,0.0000,0.0000,0.0000,0.4444
4,TYPEa-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,TYPEa-TYPEf,0.0000,0.0417,0.0833,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.0417,0.0000,0.0833,0.0833,0.0000,0.0000,0.0417,0.0417,0.6667
6,TYPEa-TYPEg,0.0909,0.0000,0.0909,0.0000,0.0000,0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3636
7,TYPEb-TYPEa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
8,TYPEb-TYPEb,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,TYPEb-TYPEc,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000
10,TYPEb-TYPEd,0.0000,0.2222,0.2222,0.0000,0.0000,0.0000,0.2222,0.0000,0.2222,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.1111,0.1111,0.1111,0.0000,1.3333
11,TYPEb-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,TYPEb-TYPEf,0.0000,0.0000,0.1250,0.0833,0.0833,0.1667,0.0833,0.0833,0.0000,0.0833,0.2500,0.0000,0.1667,0.0833,0.0833,0.0833,0.1250,0.0833,0.1250,1.7083
13,TYPEb-TYPEg,0.0000,0.2727,0.1818,0.1818,0.1818,0.1818,0.3636,0.1818,0.1818,0.1818,0.0000,0.0000,0.1818,0.0000,0.0000,0.0909,0.0000,0.0000,0.0000,2.1818
