pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
0,CON1-CON1,0.0000,0.3200,0.2400,0.3200,0.3200,0.3200,0.1600,0.0000,0.2400,0.2400,0.3200,0.1600,0.3200,0.4000,0.1600,0.0800,0.3200,0.1600,0.0000,4.0800
1,CON1-CON2,0.6000,0.6000,0.8000,1.2000,0.6000,0.8000,0.8000,0.2000,0.6000,1.2000,1.2000,1.2000,1.0000,0.4000,0.4000,0.2000,0.4000,0.4000,0.0000,12.6000
2,CON1-CON3,0.0000,0.4000,0.6000,1.2000,1.0000,0.6000,1.2000,0.0000,0.6000,1.0000,0.8000,1.0000,1.2000,0.8000,0.8000,1.0000,0.8000,0.6000,0.4000,14.0000
3,CON1-LIB1,0.1500,0.4750,0.7250,0.8750,0.4500,0.3500,0.4000,0.1750,0.5250,0.4750,0.6250,0.6250,0.9250,0.6000,0.5750,0.6000,0.5500,0.4750,0.0750,9.6500
4,CON1-LIB2,0.0417,0.4500,0.4083,0.6417,0.3417,0.3083,0.3917,0.1083,0.4417,0.4583,0.6167,0.5417,0.8417,0.7250,0.6167,0.6583,0.7000,0.5000,0.1250,8.9167
5,CON1-LIB3,0.0909,0.3455,0.3455,0.6182,0.5455,0.3636,0.6000,0.1455,0.6364,0.4545,0.4000,0.4182,0.5818,0.3818,0.4000,0.6000,0.5273,0.5091,0.2000,8.1636
6,CON1-NEUT,0.2222,0.6889,0.5556,0.7556,0.3778,0.4222,0.5333,0.1556,0.4667,0.4667,0.4667,0.4667,0.7556,0.6222,0.5556,0.6222,0.5333,0.2889,0.1111,9.0667
7,CON2-CON1,0.6000,0.6000,0.8000,1.2000,0.6000,0.8000,0.8000,0.2000,0.6000,1.2000,1.2000,1.2000,1.0000,0.4000,0.4000,0.2000,0.4000,0.4000,0.0000,12.6000
8,CON2-CON2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,CON2-CON3,0.0000,1.0000,2.0000,1.0000,2.0000,2.0000,2.0000,0.0000,2.0000,2.0000,2.0000,2.0000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,25.0000
10,CON2-LIB1,0.5000,1.0000,1.2500,1.1250,0.7500,0.6250,0.7500,0.5000,1.0000,0.7500,0.8750,1.2500,1.3750,0.3750,0.7500,0.6250,0.5000,0.5000,0.0000,14.5000
11,CON2-LIB2,0.7500,0.9583,0.8750,0.7917,0.7083,0.6250,0.8333,0.5000,1.1667,1.1667,1.2083,1.2083,1.3333,0.6667,0.6667,0.7500,0.7083,0.6250,0.0000,15.5417
12,CON2-LIB3,0.6364,1.0000,0.7273,0.3636,0.7273,0.5455,0.7273,0.6364,1.0909,0.8182,0.9091,0.5455,0.5455,0.2727,0.3636,0.4545,0.6364,0.6364,0.0000,11.6364
13,CON2-NEUT,0.7778,1.3333,1.2222,0.8889,1.2222,0.8889,1.1111,0.5556,1.3333,1.2222,1.1111,0.7778,1.2222,0.6667,0.6667,0.5556,0.5556,0.5556,0.0000,16.6667
14,CON3-CON1,0.0000,0.4000,0.6000,1.2000,1.0000,0.6000,1.2000,0.0000,0.6000,1.0000,0.8000,1.0000,1.2000,0.8000,0.8000,1.0000,0.8000,0.6000,0.4000,14.0000
15,CON3-CON2,0.0000,1.0000,2.0000,1.0000,2.0000,2.0000,2.0000,0.0000,2.0000,2.0000,2.0000,2.0000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,25.0000
16,CON3-CON3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,CON3-LIB1,0.3750,0.5000,1.1250,1.3750,0.8750,0.6250,0.5000,0.0000,0.8750,0.6250,0.8750,0.6250,1.1250,1.0000,1.5000,1.6250,1.3750,0.6250,0.3750,16.0000
18,CON3-LIB2,0.1250,0.5417,0.9583,1.2083,0.8333,0.7500,0.7083,0.0417,0.6250,0.4583,0.8333,0.7500,1.1667,1.1250,1.0417,1.3333,1.2500,0.5000,0.4167,14.6667
19,CON3-LIB3,0.0909,0.5455,1.1818,1.1818,1.2727,1.0000,1.0909,0.3636,1.5455,0.7273,0.5455,0.6364,0.9091,0.9091,0.9091,1.3636,1.1818,0.7273,0.5455,16.7273
20,CON3-NEUT,0.1111,0.5556,1.1111,1.3333,1.2222,1.2222,0.8889,0.1111,0.7778,0.8889,0.7778,0.8889,1.4444,1.2222,1.1111,1.3333,1.0000,0.1111,0.6667,16.7778
21,LIB1-CON1,0.1500,0.4750,0.7250,0.8750,0.4500,0.3500,0.4000,0.1750,0.5250,0.4750,0.6250,0.6250,0.9250,0.6000,0.5750,0.6000,0.5500,0.4750,0.0750,9.6500
22,LIB1-CON2,0.5000,1.0000,1.2500,1.1250,0.7500,0.6250,0.7500,0.5000,1.0000,0.7500,0.8750,1.2500,1.3750,0.3750,0.7500,0.6250,0.5000,0.5000,0.0000,14.5000
23,LIB1-CON3,0.3750,0.5000,1.1250,1.3750,0.8750,0.6250,0.5000,0.0000,0.8750,0.6250,0.8750,0.6250,1.1250,1.0000,1.5000,1.6250,1.3750,0.6250,0.3750,16.0000
24,LIB1-LIB1,0.1562,0.5312,0.8125,0.7500,0.4062,0.1875,0.2188,0.1250,0.4688,0.2500,0.4375,0.6562,0.8750,0.6250,1.0625,0.9375,0.8438,0.4688,0.1875,10.0000
25,LIB1-LIB2,0.1667,0.7031,0.7500,0.7708,0.3594,0.2760,0.2604,0.1198,0.4375,0.3802,0.6719,0.6719,1.0990,0.7760,1.0469,1.0573,0.9427,0.7500,0.2865,11.5260
26,LIB1-LIB3,0.1477,0.6364,0.8295,0.8182,0.5114,0.3750,0.4091,0.1705,0.6136,0.4318,0.4432,0.4659,0.7386,0.3977,0.8523,0.9205,0.8864,0.7500,0.2386,10.6364
27,LIB1-NEUT,0.2361,0.7222,0.9444,1.0139,0.5278,0.3889,0.3889,0.1806,0.5556,0.4861,0.4028,0.5000,0.9722,0.6944,1.0417,0.8750,0.6667,0.4722,0.2778,11.3472
28,LIB2-CON1,0.0417,0.4500,0.4083,0.6417,0.3417,0.3083,0.3917,0.1083,0.4417,0.4583,0.6167,0.5417,0.8417,0.7250,0.6167,0.6583,0.7000,0.5000,0.1250,8.9167
29,LIB2-CON2,0.7500,0.9583,0.8750,0.7917,0.7083,0.6250,0.8333,0.5000,1.1667,1.1667,1.2083,1.2083,1.3333,0.6667,0.6667,0.7500,0.7083,0.6250,0.0000,15.5417
30,LIB2-CON3,0.1250,0.5417,0.9583,1.2083,0.8333,0.7500,0.7083,0.0417,0.6250,0.4583,0.8333,0.7500,1.1667,1.1250,1.0417,1.3333,1.2500,0.5000,0.4167,14.6667
31,LIB2-LIB1,0.1667,0.7031,0.7500,0.7708,0.3594,0.2760,0.2604,0.1198,0.4375,0.3802,0.6719,0.6719,1.0990,0.7760,1.0469,1.0573,0.9427,0.7500,0.2865,11.5260
32,LIB2-LIB2,0.1667,0.7014,0.5590,0.5486,0.3090,0.3194,0.3368,0.1562,0.5972,0.6597,0.8576,0.6458,1.0521,0.9340,0.9757,1.0903,1.0833,0.8056,0.2778,12.0764
33,LIB2-LIB3,0.1364,0.7386,0.6288,0.6629,0.4053,0.3636,0.4432,0.1553,0.6629,0.5189,0.5758,0.4886,0.6705,0.4508,0.7652,0.9091,0.9242,0.8295,0.2917,10.6212
34,LIB2-NEUT,0.1852,0.8519,0.8056,0.8194,0.4352,0.3009,0.3796,0.1389,0.5509,0.6620,0.6435,0.5556,0.9583,0.8194,0.9676,0.9352,0.8380,0.6111,0.3009,11.7593
