pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,2009-07-08
1-10,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-13,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
1-14,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1-16,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
1-17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1-19,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1
1-23,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-28,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
1-31,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-37,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
1-39,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-43,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-44,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-46,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
1-49,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
1-52,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-6,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-61,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1-63,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-64,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-70,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-72,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
1-74,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
1-80,,,,,,,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
1-84,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
