pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
0,0.0-0.0,0.0108,0.0586,0.0556,0.0417,0.0417,0.0370,0.0432,0.0386,0.0478,0.0432,0.0463,0.0463,0.0401,0.0278,0.0309,0.0293,0.0262,0.0370,0.0262,0.7284
1,0.0-0.1,0.0064,0.0385,0.0577,0.0641,0.0534,0.0427,0.0662,0.0342,0.0556,0.0556,0.0577,0.0513,0.0620,0.0427,0.0385,0.0256,0.0278,0.0150,0.0107,0.8056
2,0.0-0.2,0.0000,0.0278,0.0556,0.0463,0.0185,0.0185,0.0463,0.0370,0.0463,0.0556,0.0370,0.0463,0.0000,0.0000,0.0093,0.0185,0.0093,0.0000,0.0093,0.4815
3,0.0-0.3,0.0000,0.0000,0.0139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0139,0.0417,0.0000,0.0139,0.0139,0.0000,0.0000,0.0000,0.0139,0.1111
4,0.0-0.4,0.0278,0.0000,0.0278,0.0139,0.0278,0.0417,0.0139,0.0000,0.0000,0.0278,0.0139,0.0278,0.0000,0.0000,0.0000,0.0000,0.0139,0.0000,0.0000,0.2361
5,0.0-0.5,0.0278,0.0417,0.0833,0.0417,0.0000,0.0000,0.0278,0.0278,0.0278,0.0972,0.0972,0.0417,0.0833,0.0972,0.0833,0.0556,0.0139,0.0556,0.0139,0.9167
6,0.0-0.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833
7,0.1-0.0,0.0064,0.0385,0.0577,0.0641,0.0534,0.0427,0.0662,0.0342,0.0556,0.0556,0.0577,0.0513,0.0620,0.0427,0.0385,0.0256,0.0278,0.0150,0.0107,0.8056
8,0.1-0.1,0.0000,0.0473,0.0710,0.0355,0.0237,0.0118,0.0473,0.0237,0.0237,0.0237,0.0592,0.0237,0.0118,0.0237,0.0355,0.0118,0.0473,0.0237,0.0118,0.5562
9,0.1-0.2,0.0000,0.0000,0.0000,0.1282,0.0256,0.0000,0.0513,0.0513,0.0256,0.0000,0.0769,0.0256,0.0000,0.0000,0.0256,0.0000,0.0256,0.0000,0.0256,0.4615
10,0.1-0.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.1-0.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.1-0.5,0.0385,0.1154,0.2308,0.1538,0.0769,0.0769,0.0769,0.0000,0.0000,0.0769,0.1154,0.1154,0.1538,0.0769,0.1154,0.1154,0.1923,0.0385,0.0769,1.8462
13,0.1-0.8,0.0000,0.0000,0.0000,0.0769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1538,0.0000,0.1538,0.0000,0.0000,0.0000,0.3846
14,0.2-0.0,0.0000,0.0278,0.0556,0.0463,0.0185,0.0185,0.0463,0.0370,0.0463,0.0556,0.0370,0.0463,0.0000,0.0000,0.0093,0.0185,0.0093,0.0000,0.0093,0.4815
15,0.2-0.1,0.0000,0.0000,0.0000,0.1282,0.0256,0.0000,0.0513,0.0513,0.0256,0.0000,0.0769,0.0256,0.0000,0.0000,0.0256,0.0000,0.0256,0.0000,0.0256,0.4615
16,0.2-0.2,0.0000,0.0000,0.0000,0.4444,0.0000,0.2222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667
