pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
0,0.0-0.0,0.2207,0.8765,0.7840,0.7068,0.4460,0.3704,0.4321,0.1929,0.6667,0.5833,0.6358,0.5478,0.9444,0.7176,0.8565,0.9182,0.9383,0.7639,0.2701,11.8719
1,0.0-0.1,0.1538,0.4957,0.7222,0.8803,0.5385,0.4402,0.5363,0.0919,0.5983,0.5150,0.5513,0.5641,0.9252,0.7415,0.8868,0.8504,0.7756,0.6132,0.1688,11.0491
2,0.0-0.2,0.0556,0.8148,0.7500,0.8611,0.5648,0.4815,0.3981,0.2963,0.7778,0.6296,0.8704,0.7685,0.8426,0.5741,0.8241,1.0370,0.8333,0.8333,0.4815,12.6944
3,0.0-0.3,0.1667,0.7361,0.0000,0.7361,0.2361,0.2361,0.2083,0.1250,0.6667,0.7500,0.6806,0.4306,0.5417,0.2361,0.4583,0.5417,0.5417,0.5417,0.2500,8.0833
4,0.0-0.4,0.4583,1.0139,0.8889,0.5556,0.1528,0.2778,0.1806,0.1806,0.4583,0.3472,0.8611,0.5972,1.0417,0.6667,0.6111,0.9722,1.1667,0.3194,0.0833,10.8333
5,0.0-0.5,0.0972,0.9028,0.6528,0.2083,0.3611,0.3333,0.4444,0.2778,0.6111,0.7083,0.6806,0.5833,0.8889,0.6250,1.0972,1.2083,0.9583,0.7222,0.5278,11.8889
6,0.0-0.8,0.0556,0.5278,0.9444,0.8056,0.3889,0.1944,0.1944,0.1944,0.4167,0.3889,0.3889,0.3889,0.5833,0.7222,1.2222,1.2778,1.1667,0.8056,0.5000,11.1667
7,0.1-0.0,0.1538,0.4957,0.7222,0.8803,0.5385,0.4402,0.5363,0.0919,0.5983,0.5150,0.5513,0.5641,0.9252,0.7415,0.8868,0.8504,0.7756,0.6132,0.1688,11.0491
8,0.1-0.1,0.0237,0.2722,0.5680,0.8639,0.5799,0.4615,0.6509,0.0710,0.4852,0.3905,0.4024,0.5089,0.8166,0.7456,0.7692,0.6982,0.5325,0.3905,0.0828,9.3136
9,0.1-0.2,0.0256,0.5385,0.7692,0.9487,0.6154,0.4872,0.4615,0.2308,0.7436,0.6923,0.7179,0.7692,0.7949,0.6410,0.7692,0.8974,0.7179,0.5897,0.3590,11.7692
10,0.1-0.3,0.1154,0.2308,0.0000,0.8077,0.2692,0.2308,0.3077,0.0385,0.6923,0.6538,0.5385,0.3077,0.3846,0.2308,0.5385,0.4615,0.4615,0.4231,0.2308,6.9231
11,0.1-0.4,0.1923,0.6538,0.4231,0.4615,0.1538,0.0769,0.2308,0.0385,0.2308,0.2308,0.8077,0.6154,1.0000,0.5385,0.6538,0.8077,1.0769,0.2692,0.0000,8.4615
12,0.1-0.5,0.0769,0.5000,0.6538,0.1923,0.5000,0.3462,0.4615,0.1538,0.5385,0.5000,0.4231,0.5769,0.6923,0.5769,1.0385,0.9231,0.5385,0.4615,0.1923,9.3462
13,0.1-0.8,0.1538,0.2308,0.6923,1.1538,0.3077,0.2308,0.1538,0.0000,0.1538,0.3077,0.2308,0.3077,0.4615,0.5385,1.0769,0.9231,0.6154,0.5385,0.1538,8.2308
14,0.2-0.0,0.0556,0.8148,0.7500,0.8611,0.5648,0.4815,0.3981,0.2963,0.7778,0.6296,0.8704,0.7685,0.8426,0.5741,0.8241,1.0370,0.8333,0.8333,0.4815,12.6944
15,0.2-0.1,0.0256,0.5385,0.7692,0.9487,0.6154,0.4872,0.4615,0.2308,0.7436,0.6923,0.7179,0.7692,0.7949,0.6410,0.7692,0.8974,0.7179,0.5897,0.3590,11.7692
16,0.2-0.2,0.0000,0.2222,0.2222,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.4444,0.4444,0.2222,0.0000,0.0000,0.4444,0.2222,0.2222,0.0000,3.7778
