pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,total
0,0.0-0.0,0.1760,0.7584,0.7328,0.6912,0.4448,0.3840,0.4576,0.1376,0.7296,0.5376,0.5920,0.5216,1.0432,0.8608,0.9248,0.9504,1.0560,0.8512,0.2592,12.1088
1,0.0-0.1,0.2033,0.7967,0.7000,0.7567,0.5533,0.4800,0.5367,0.1833,0.7233,0.7033,0.7133,0.6867,1.1067,0.8067,0.9900,0.9900,0.9467,0.8033,0.3400,13.0200
2,0.0-0.2,0.0933,0.5333,0.7133,0.8133,0.3533,0.4200,0.3867,0.2133,0.7267,0.6267,0.5133,0.4667,0.5267,0.7200,0.8400,0.9200,0.8533,0.5600,0.2533,10.5333
3,0.0-0.3,0.0533,0.5333,0.6267,0.8667,0.6267,0.3733,0.4133,0.1200,0.5467,0.3733,0.4400,0.5200,0.7067,0.5600,0.7333,0.6933,0.7200,0.5867,0.2400,9.7333
4,0.0-0.4,0.0400,0.2000,0.4400,0.3200,0.4800,0.6400,0.6400,0.2400,0.7200,0.6400,0.6400,0.3600,0.9600,0.5200,0.8400,0.8800,0.6400,0.6400,0.1600,10.0000
5,0.0-0.5,0.2700,0.7000,0.7100,0.8200,0.4700,0.3300,0.4700,0.1100,0.7700,0.5600,0.6500,0.6400,1.1300,0.5900,0.8600,0.7200,0.6700,0.6300,0.3400,11.4400
6,0.0-0.6,0.1800,0.9000,0.9800,0.9600,0.3200,0.4000,0.3400,0.1600,0.5000,0.3800,0.6800,0.6600,1.0600,1.1600,1.3000,1.3000,1.4800,1.2400,0.0000,14.0000
7,0.0-0.7,0.1800,1.2000,1.0200,0.9200,0.4600,0.3000,0.3800,0.2400,0.6600,0.4800,0.8200,0.7600,1.3400,0.9000,1.0000,0.9200,0.9000,0.8600,0.2600,13.6000
8,0.0-0.8,0.4600,1.3000,1.0200,0.2400,0.1200,0.1200,0.2600,0.1400,0.4200,0.4200,0.7600,0.4000,0.7400,0.2000,0.4200,1.0200,0.7400,0.2200,0.2600,9.2600
9,0.0-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0-1.0,0.1200,0.7200,0.5600,0.7000,0.2800,0.0800,0.0800,0.1000,0.2000,0.2800,0.4600,0.4600,0.3200,0.4200,0.6000,1.0400,0.7400,0.5600,0.2200,7.9400
11,0.1-0.0,0.2033,0.7967,0.7000,0.7567,0.5533,0.4800,0.5367,0.1833,0.7233,0.7033,0.7133,0.6867,1.1067,0.8067,0.9900,0.9900,0.9467,0.8033,0.3400,13.0200
12,0.1-0.1,0.1528,0.5556,0.5833,0.7083,0.7083,0.5000,0.6528,0.1528,0.5972,0.8056,0.7083,0.6250,1.0000,0.5833,0.8194,0.7778,0.7361,0.5833,0.2639,11.5139
13,0.1-0.2,0.0833,0.4444,0.5556,0.8194,0.3611,0.4861,0.5556,0.1667,0.6111,0.8056,0.5972,0.5833,0.5000,0.6111,0.8472,0.8889,0.7222,0.4444,0.2500,10.3333
14,0.1-0.3,0.0556,0.5278,0.5278,0.7778,0.6111,0.5000,0.4167,0.0556,0.4444,0.3889,0.3611,0.5000,0.7222,0.4722,0.5833,0.6944,0.5833,0.4444,0.2778,8.9444
15,0.1-0.4,0.0000,0.0000,0.5833,0.6667,1.1667,1.3333,1.0833,0.5833,1.1667,1.1667,1.0000,0.5000,0.8333,0.5833,0.7500,1.0000,0.5833,0.5000,0.2500,13.7500
16,0.1-0.5,0.2500,0.5208,0.5417,0.7083,0.4375,0.3542,0.4792,0.1458,0.6250,0.6458,0.7708,0.6458,1.1042,0.5833,0.7292,0.6458,0.6250,0.4583,0.3542,10.6250
17,0.1-0.6,0.1250,0.7083,0.7917,0.9167,0.5417,0.4583,0.4167,0.2083,0.5000,0.5000,0.7917,0.7083,1.1250,1.0417,1.2083,1.2917,1.2500,1.0000,0.0000,13.5833
18,0.1-0.7,0.2500,1.0417,0.9583,0.9167,0.6250,0.5417,0.5833,0.3750,0.5417,0.6250,0.9167,0.7500,1.2083,0.7917,0.8750,0.7917,0.6667,0.5417,0.1667,13.1667
19,0.1-0.8,0.4583,1.1250,0.7083,0.1250,0.2917,0.2083,0.3750,0.3333,0.4167,0.5000,0.8333,0.4167,0.7083,0.0000,0.3750,0.7500,0.7500,0.2083,0.2917,8.8750
20,0.1-0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,0.1-1.0,0.1250,0.5000,0.7083,0.7917,0.4167,0.2083,0.1667,0.1250,0.2500,0.4583,0.5833,0.5000,0.3333,0.3750,0.7083,1.0000,0.7917,0.5417,0.2917,8.8750
22,0.2-0.0,0.0933,0.5333,0.7133,0.8133,0.3533,0.4200,0.3867,0.2133,0.7267,0.6267,0.5133,0.4667,0.5267,0.7200,0.8400,0.9200,0.8533,0.5600,0.2533,10.5333
23,0.2-0.1,0.0833,0.4444,0.5556,0.8194,0.3611,0.4861,0.5556,0.1667,0.6111,0.8056,0.5972,0.5833,0.5000,0.6111,0.8472,0.8889,0.7222,0.4444,0.2500,10.3333
24,0.2-0.2,0.0000,0.1111,0.4444,0.7778,0.2222,0.0556,0.2222,0.1667,0.5000,0.4444,0.2778,0.2778,0.1111,0.3889,0.5556,0.6667,0.4444,0.2222,0.1111,6.0000
25,0.2-0.3,0.0000,0.3889,0.6111,0.9444,0.4444,0.2222,0.3333,0.1111,0.5556,0.3889,0.2778,0.2222,0.4444,0.5000,0.6667,0.5556,0.6667,0.3889,0.1111,7.8333
26,0.2-0.4,0.0000,0.1667,0.3333,0.1667,0.6667,0.3333,0.5000,0.3333,0.3333,0.6667,0.6667,0.1667,0.3333,0.3333,0.5000,0.8333,0.5000,0.3333,0.1667,7.3333
27,0.2-0.5,0.0833,0.3750,0.6250,0.9583,0.3750,0.2917,0.4167,0.1250,0.7083,0.5833,0.5000,0.4167,0.6250,0.4167,0.7500,0.5833,0.5417,0.3333,0.2083,8.9167
28,0.2-0.6,0.0833,0.5833,0.5833,0.7500,0.1667,0.2500,0.3333,0.2500,0.5000,0.3333,0.5000,0.5000,0.3333,1.0000,0.9167,1.0000,1.0833,0.6667,0.0000,9.8333
29,0.2-0.7,0.0000,0.7500,0.6667,1.0833,0.2500,0.5000,0.5000,0.2500,0.5833,0.5833,0.4167,0.3333,0.8333,0.5000,0.9167,0.7500,0.6667,0.5000,0.2500,10.3333
30,0.2-0.8,0.2500,1.0000,0.6667,0.3333,0.1667,0.0833,0.5833,0.1667,0.4167,0.2500,0.8333,0.4167,0.2500,0.2500,0.6667,1.0000,0.5833,0.1667,0.2500,8.3333
