,freq,source,target
0,15,32.0,54.0
1,2,14.0,74.0
2,41,36.0,68.0
3,20,22.0,19.0
4,7,79.0,38.0
5,15,44.0,4.0
6,7,18.0,19.0
7,54,42.0,20.0
8,3,45.0,9.0
9,51,77.0,76.0
10,7,67.0,74.0
11,6,36.0,22.0
12,13,19.0,65.0
13,1,35.0,65.0
14,1,32.0,77.0
15,6,56.0,58.0
16,1,6.0,23.0
17,59,31.0,21.0
18,2,46.0,23.0
19,3,23.0,19.0
20,2,64.0,32.0
21,34,9.0,9.0
22,1,58.0,4.0
23,6,24.0,21.0
24,1,71.0,41.0
25,4,22.0,52.0
26,2,22.0,6.0
27,1,71.0,71.0
28,4,19.0,44.0
29,23,32.0,68.0
30,9,19.0,18.0
31,11,52.0,44.0
32,2,46.0,30.0
33,2,79.0,52.0
34,1,23.0,40.0
35,7,67.0,18.0
36,15,31.0,56.0
37,2,55.0,47.0
38,4,59.0,40.0
39,2,63.0,24.0
40,2,23.0,6.0
41,51,44.0,46.0
42,26,10.0,19.0
43,25,25.0,25.0
44,2,20.0,71.0
45,38,48.0,15.0
46,13,27.0,31.0
47,56,15.0,48.0
48,2,79.0,23.0
49,3,23.0,75.0
50,622,7.0,4.0
51,5,22.0,36.0
52,8,14.0,65.0
53,7,77.0,29.0
54,92,30.0,36.0
55,1,31.0,33.0
56,1,5.0,62.0
57,1,18.0,22.0
58,2,23.0,31.0
59,1,60.0,42.0
60,1,43.0,34.0
61,1,28.0,67.0
62,1,79.0,65.0
63,6,18.0,48.0
64,4,15.0,19.0
65,1,19.0,26.0
66,5,68.0,29.0
67,10,18.0,67.0
68,2,80.0,67.0
69,24,55.0,28.0
70,14,4.0,24.0
71,112,55.0,7.0
72,2,62.0,70.0
73,124,16.0,11.0
74,2,32.0,46.0
75,5,79.0,32.0
76,11,44.0,6.0
77,6,59.0,38.0
78,1,23.0,20.0
79,43,64.0,43.0
80,8,36.0,44.0
81,1,31.0,52.0
82,26,29.0,68.0
83,1,42.0,60.0
84,4,71.0,20.0
85,11,70.0,43.0
86,145,24.0,16.0
87,1,62.0,29.0
88,1,22.0,71.0
89,134,2.0,25.0
90,1,22.0,40.0
91,1,21.0,57.0
92,1749,4.0,7.0
93,1,52.0,57.0
94,1,5.0,6.0
95,360,57.0,57.0
96,1,36.0,77.0
97,2,19.0,15.0
98,2,31.0,23.0
99,4,5.0,32.0
100,2,16.0,24.0
101,2,6.0,47.0
102,1228,58.0,24.0
103,46,70.0,8.0
104,390,26.0,65.0
105,6,68.0,40.0
106,17,12.0,44.0
107,11,68.0,54.0
108,21,14.0,14.0
109,1,60.0,12.0
110,4,18.0,23.0
111,1,72.0,23.0
112,3,67.0,47.0
113,2,77.0,46.0
114,1,22.0,48.0
115,1,55.0,21.0
116,1,29.0,2.0
117,1930,61.0,61.0
118,18,55.0,51.0
119,1,20.0,23.0
120,1,59.0,52.0
121,70,16.0,31.0
122,25,10.0,45.0
123,31,31.0,58.0
124,7,46.0,6.0
125,23,44.0,18.0
126,7,66.0,35.0
127,7,54.0,70.0
128,9,5.0,68.0
129,83,45.0,45.0
130,2,11.0,28.0
131,6,24.0,4.0
132,12,51.0,12.0
133,1,19.0,29.0
134,296,20.0,30.0
135,7,30.0,42.0
136,3,11.0,63.0
137,30,68.0,36.0
138,13,62.0,54.0
139,30,70.0,54.0
140,1,77.0,32.0
141,11,35.0,35.0
142,6,76.0,59.0
143,204,71.0,77.0
144,9,62.0,68.0
145,8,21.0,24.0
146,6,54.0,62.0
147,8,32.0,32.0
148,1,35.0,45.0
149,7,36.0,46.0
150,10,58.0,31.0
151,1,32.0,6.0
152,2,44.0,30.0
153,12,9.0,4.0
154,14,57.0,2.0
155,185,12.0,55.0
156,8,43.0,51.0
157,10,71.0,44.0
158,50,43.0,64.0
159,23,27.0,24.0
160,15,24.0,56.0
161,21,72.0,18.0
162,12,35.0,69.0
163,15,31.0,11.0
164,1,16.0,4.0
165,272,30.0,20.0
166,10,12.0,51.0
167,1,18.0,6.0
168,3,21.0,11.0
169,1,44.0,21.0
170,2,59.0,23.0
171,2,62.0,32.0
172,2,43.0,40.0
173,2,74.0,47.0
174,3,45.0,50.0
175,1,62.0,6.0
176,1,26.0,19.0
177,11,24.0,63.0
178,1,27.0,26.0
179,18,1.0,37.0
180,17,19.0,22.0
181,1,2.0,34.0
182,14,76.0,29.0
183,1,32.0,62.0
184,2,5.0,23.0
185,1,72.0,78.0
186,2,58.0,33.0
187,19,44.0,12.0
188,1,42.0,44.0
189,5,62.0,43.0
190,7,54.0,68.0
191,8,79.0,68.0
192,1,44.0,42.0
193,4,64.0,64.0
