"user_id","time","incoming","dest_user_id","dest.phone.hash"
67,2009-05-01 00:08:42,0,,"1931424644"
48,2009-05-01 00:10:47,1,,"3151901641"
67,2009-05-01 00:18:46,1,,"114747863"
67,2009-05-01 00:32:30,1,,"1931424644"
67,2009-05-01 01:14:13,0,,"1931424644"
67,2009-05-01 01:14:13,0,,"19314241"
67,2009-05-01 01:14:13,0,,"2764449142464"
67,2009-05-01 01:14:59,0,,"114747863"
48,2009-05-01 01:25:46,1,,"134811818"
48,2009-05-01 02:25:46,1,,"134811818"
67,2009-05-01 03:17:20,0,,"1931424644"
61,2009-05-01 03:18:50,1,1,"3502965008"
61,2009-05-01 03:21:23,1,1,"3502965008"
61,2009-05-01 06:18:50,1,1,"3502965008"
61,2009-05-01 06:19:35,0,1,"3502965008"
61,2009-05-01 06:21:23,1,1,"3502965008"
60,2009-05-01 07:14:25,1,,"2119815477"
60,2009-05-01 08:25:07,1,,"2119815477"
61,2009-05-01 08:49:01,1,1,"3502965008"
61,2009-05-01 08:49:04,1,1,"3502965008"
67,2009-05-01 09:03:36,1,,"177622"
61,2009-05-01 09:04:50,1,1,"3502965008"
67,2009-05-01 09:11:58,1,,"1931424644"
1,2009-05-01 09:18:49,0,61,"3480933661"
1,2009-05-01 09:19:35,1,61,"3480933661"
61,2009-05-01 09:19:35,0,1,"3502965008"
1,2009-05-01 09:21:22,0,61,"3480933661"
60,2009-05-01 09:24:14,0,,"2119815477"
60,2009-05-01 09:24:14,0,,"1833226434"
56,2009-05-01 09:47:07,1,,"29589574"
67,2009-05-01 09:48:50,0,,"1931424644"
60,2009-05-01 10:08:04,1,,"2021247647"
48,2009-05-01 11:17:12,0,,"134811818"
48,2009-05-01 11:17:12,0,,"134811818"
4,2009-05-01 11:37:23,1,,"3074189198"
4,2009-05-01 11:39:36,0,,"3074189198"
48,2009-05-01 11:45:44,1,,"134811818"
4,2009-05-01 11:48:19,1,,"3074189198"
61,2009-05-01 11:49:01,1,1,"3502965008"
61,2009-05-01 11:49:04,1,1,"3502965008"
4,2009-05-01 11:50:02,0,,"3074189198"
61,2009-05-01 12:04:50,1,1,"3502965008"
60,2009-05-01 12:09:00,0,,"2021247647"
61,2009-05-01 12:16:09,1,,"177622"
4,2009-05-01 12:37:23,1,,"3074189198"
37,2009-05-01 12:38:51,1,,"310384803"
37,2009-05-01 12:38:58,1,,"2054900680"
4,2009-05-01 12:39:36,0,,"3074189198"
4,2009-05-01 12:48:19,1,,"3074189198"
4,2009-05-01 12:50:02,0,,"3074189198"
48,2009-05-01 13:17:12,0,,"134811818"
56,2009-05-01 13:30:36,1,,"3524061235"
56,2009-05-01 13:41:57,0,,"3524061235"
56,2009-05-01 13:43:02,1,,"3524061235"
56,2009-05-01 13:43:58,0,,"3524061235"
48,2009-05-01 13:45:44,1,,"134811818"
4,2009-05-01 13:48:50,1,,"3074189198"
4,2009-05-01 13:49:17,0,,"3074189198"
48,2009-05-01 13:58:34,0,,"134811818"
48,2009-05-01 13:59:22,1,,"134811818"
48,2009-05-01 14:17:12,0,,"134811818"
44,2009-05-01 14:39:36,1,,"2627220535"
48,2009-05-01 14:45:44,1,,"134811818"
4,2009-05-01 14:48:50,1,,"3074189198"
1,2009-05-01 14:49:03,0,61,"3480933661"
4,2009-05-01 14:49:17,0,,"3074189198"
4,2009-05-01 14:49:17,0,7,"4271253630"
48,2009-05-01 14:58:34,0,,"134811818"
48,2009-05-01 14:59:22,1,,"134811818"
1,2009-05-01 15:04:48,0,61,"3480933661"
1,2009-05-01 15:04:48,1,61,"3480933661"
61,2009-05-01 15:16:09,1,,"177622"
67,2009-05-01 16:03:44,0,,"534842630"
67,2009-05-01 17:03:06,0,,"3117739292"
67,2009-05-01 17:05:16,1,,"3117739292"
67,2009-05-01 17:06:27,0,,"2809552390"
67,2009-05-01 17:09:52,0,,"3117739292"
67,2009-05-01 17:09:52,1,,"3117739177392"
67,2009-05-01 17:09:52,1,67,"3117739291"
67,2009-05-01 17:09:52,1,67,"3117739291"
48,2009-05-01 17:19:35,0,,"134811818"
48,2009-05-01 17:20:55,1,,"134811818"
48,2009-05-01 17:23:04,0,,"134811818"
48,2009-05-01 17:25:29,1,,"134811818"
48,2009-05-01 17:30:09,0,,"134811818"
48,2009-05-01 17:33:05,1,,"134811818"
48,2009-05-01 17:33:57,0,,"134811818"
48,2009-05-01 17:39:34,1,,"134811818"
48,2009-05-01 18:13:04,0,,"134811818"
48,2009-05-01 18:19:35,0,,"134811818"
48,2009-05-01 18:20:55,1,,"134811818"
48,2009-05-01 18:23:04,0,,"134811818"
48,2009-05-01 18:25:29,1,,"134811818"
60,2009-05-01 18:26:48,1,,"653124128"
48,2009-05-01 18:30:09,0,,"134811818"
48,2009-05-01 18:33:05,1,,"134811818"
48,2009-05-01 18:33:57,0,,"134811818"
48,2009-05-01 18:39:34,1,,"134811818"
48,2009-05-01 18:41:19,0,,"134811818"
48,2009-05-01 18:41:58,1,,"134811818"
67,2009-05-01 18:59:14,1,,"2809552390"
57,2009-05-01 19:03:54,1,,"675831353"
48,2009-05-01 19:13:04,0,,"134811818"
